//JobNo,Skill-ID,MaxLv{,BaseLvReq,JobLvReq},Prerequisite Skill-ID-1,Prerequisite Skill-ID-1-Lv,PrereqSkill-ID-2,PrereqSkill-ID-2-Lv,PrereqSkill-ID-3,PrereqSkill-ID-3-Lv,PrereqSkill-ID-4,PrereqSkill-ID-4-Lv,PrereqSkill-ID-5,PrereqSkill-ID-5-Lv//CLASS_SKILLNAME#Skill Name#
//Novice
0,1,9,0,0,0,0,0,0,0,0,0,0,0,0 // NV_BASIC#基本技能#
0,142,1,0,0,0,0,0,0,0,0,0,0,0,0 // NV_FIRSTAID#緊急治療#
0,143,1,0,0,0,0,0,0,0,0,0,0,0,0 // NV_TRICKDEAD#裝死#
0,410,1,0,0,0,0,0,0,0,0,0,0,0,0 // WE_CALLBABY#寶貝請來這裡#
//Swordman
1,1,9,0,0,0,0,0,0,0,0,0,0,0,0 // NV_BASIC#基本技能#
1,142,1,0,0,0,0,0,0,0,0,0,0,0,0 // NV_FIRSTAID#緊急治療#
1,2,10,0,0,0,0,0,0,0,0,0,0,0,0 // SM_SWORD#單手劍使用熟練度#
1,3,10,2,1,0,0,0,0,0,0,0,0,0,0 // SM_TWOHAND#雙手劍使用熟練度#
1,4,10,0,0,0,0,0,0,0,0,0,0,0,0 // SM_RECOVERY#快速恢復#
1,5,10,0,0,0,0,0,0,0,0,0,0,0,0 // SM_BASH#狂擊#
1,6,10,0,0,0,0,0,0,0,0,0,0,0,0 // SM_PROVOKE#挑釁#
1,7,10,5,5,0,0,0,0,0,0,0,0,0,0 // SM_MAGNUM#怒爆#
1,8,10,6,5,0,0,0,0,0,0,0,0,0,0 // SM_ENDURE#霸體#
1,144,1,0,0,0,0,0,0,0,0,0,0,0,0 // SM_MOVINGRECOVERY#移動時恢復HP#
1,145,1,0,0,0,0,0,0,0,0,0,0,0,0 // SM_FATALBLOW#攻擊弱點#
1,146,1,0,0,0,0,0,0,0,0,0,0,0,0 // SM_AUTOBERSERK#狂暴狀態#
1,410,1,0,0,0,0,0,0,0,0,0,0,0,0 // WE_CALLBABY#寶貝請來這裡#
//Magician
2,1,9,0,0,0,0,0,0,0,0,0,0,0,0 // NV_BASIC#基本技能#
2,142,1,0,0,0,0,0,0,0,0,0,0,0,0 // NV_FIRSTAID#緊急治療#
2,9,10,0,0,0,0,0,0,0,0,0,0,0,0 // MG_SRECOVERY#禪心#
2,10,1,0,0,0,0,0,0,0,0,0,0,0,0 // MG_SIGHT#火狩#
2,11,10,0,0,0,0,0,0,0,0,0,0,0,0 // MG_NAPALMBEAT#心靈爆破#
2,12,10,11,7,13,5,0,0,0,0,0,0,0,0 // MG_SAFETYWALL#暗之障壁#
2,13,10,11,4,0,0,0,0,0,0,0,0,0,0 // MG_SOULSTRIKE#聖靈召喚#
